RSRP_S,RSRP_t,Tr,S,T
-72.693,-81.719,30,8,2
-80.217,-79.83,22,2,42
-70.347,-70.347,11,42,7
-76.274,-76.31,13,7,31
-77.767,-78.061,7,31,37
-73.821,-74.492,10,37,6
-65.422,-73.04,24,6,36
-72.309,-72.309,11,36,15
-76.384,-76.634,60,15,36
-66.022,-67.235,18,36,6
-69.155,-70.27,33,6,37
-74.018,-74.32,13,37,31
-72.465,-71.949,12,31,7
-68.613,-83.072,178,7,19
-79.91,-82.871,75,19,2
-79.102,-83.899,68,2,1
-72.16,-79.124,75,1,20
-65.316,-62.54,25,20,5
-70.086,-83.061,66,5,14
-82.204,-83.57,21,14,13
-81.203,-80.923,13,13,33
-70.036,-78.89,26,33,4
-78.046,-83.377,134,4,5
-77.736,-75.47,59,5,20
-70.412,-81.145,66,20,5
-82.185,-83.689,36,5,6
-72.964,-85.973,218,6,16
-79.802,-81.769,290,16,36
-73.023,-77.592,90,36,15
-67.908,-71.362,146,15,47
-69.634,-82.364,92,47,14
-76.364,-81.369,105,14,47
-76.808,-77.205,31,47,22
-74.145,-83.066,48,22,15
-83.85,-84.076,14,15,6
-69.495,-80.692,116,6,45
-70.987,-80.739,50,45,43
-78.162,-82.118,44,43,18
-71.809,-83.4,149,18,19
-74.53,-85.845,150,19,2
-81.8,-80.69,52,2,44
-75.401,-83.619,103,44,2
-82.833,-83.692,38,2,9
-77.627,-83.988,236,9,10
-66.233,-83.073,302,10,9
-72.98,-83.694,142,9,44
-76.85,-73.545,31,44,2
-77.337,-77.235,13,2,42
-68.92,-77.049,6,42,7
-66.147,-65.769,13,7,45
-72.27,-75.427,8,45,17
-83.279,-84.164,46,17,6
-76.601,-74.323,45,6,37
-71.025,-83.714,40,37,1
-76.119,-83.145,104,1,3
-72.59,-82.625,100,3,10
-70.666,-82.732,199,10,49
-76.024,-76.368,31,49,3
-78.435,-81.94,51,3,27
-74.243,-78.994,39,27,2
-82.678,-85.009,37,2,7
-73.995,-79.581,91,7,45
-78.386,-78.805,18,45,17
-68.582,-81.88,299,17,43
-71.056,-74.073,122,43,7
-66.371,-82.25,176,7,19
-69.214,-83.749,388,19,2
-72.44,-77.713,319,2,27
-67.988,-83.741,166,27,3
-80.675,-83.76,260,3,4
-79.067,-84.838,341,4,12
-77.556,-83.705,1402,12,13
-75.459,-75.383,207,13,33
-69.843,-82.046,128,33,5
-74.191,-78.072,252,5,22
-67.923,-79.44,126,22,15
-76.938,-81.983,233,15,36
-66.284,-64.715,13,36,6
-76.254,-79.872,28,6,1
-69.651,-79.324,36,1,3
-74.922,-73.812,24,3,49
-71.832,-72.208,14,49,9
-81.479,-80.871,27,9,49
-72.996,-81.847,50,49,3
-82.374,-83.5,44,3,2
-79.05,-78.08,26,2,27
-66.303,-77.194,35,27,1
-72.369,-73.28,59,1,28
-69.729,-78.778,33,28,20
-72.33,-86.729,426,20,1
-84.341,-84.709,118,1,6
-76.754,-74.014,368,6,37
-72.337,-83.911,285,37,45
-69.966,-78.605,326,45,17
-71.298,-77.409,851,17,45
-72.205,-82.867,297,45,6
-76.429,-85.344,805,6,5
-80.955,-79.567,94,5,20
-69.413,-74.449,220,20,5
-75.701,-82.669,454,5,33
-75.945,-84.101,297,33,4
